X,Y
967.9373272362118,976.337364341737
460.5046396219212,452.67174275056254
149.28104655011322,580.5980228212782
745.0051227302876,504.5454844860978
424.5721037554043,185.1040323115768
784.1105800056463,244.80825458943778
403.40520184945126,739.3273945592559
646.1458799780777,340.1890837108983
251.59348439551565,322.1540696161935
298.93029965769426,369.4432159004331
434.4928668614644,196.4119150905055
227.32861165791718,383.7924503541643
887.9835035073047,289.3415678710458
649.3953697967706,463.67544070629384
441.85853874450896,623.105893364046
786.6454815361974,106.27035041388355
197.51965730258135,969.5045285070141
910.046630520658,235.20641892980444
835.1947552333258,706.4701918661845
470.50985015130266,372.05976087601545
178.6535245125751,225.68942772852574
430.0257885209454,483.3181853986815
277.78645841177183,872.1314499029312
321.8796519418715,253.85121725096127
705.568779176315,697.0797578813015
973.305572121219,453.8903803083053
779.8157232538016,25.22202482427327
683.2923866907338,202.0888706756111
984.4138999116982,153.77583933844718
368.05271801428705,633.0663272143939
706.3946749290599,728.1659379066267
495.98255529644916,833.5803200815147
635.9987089869121,859.3589702853485
277.6659849179228,384.19303506652346
566.6515033471334,4.1163182126306985
467.76235796586207,875.6412740918919
730.7499366163863,722.2569041633299
415.96827989619123,107.43467288946584
251.43273168909076,48.7270743199274
854.3083481664772,834.7890453028375
321.7479295320901,809.0727294138915
390.49627354771724,660.1800020919316
959.7270032941744,704.1445497866601
254.3115995305947,801.2378368983859
929.673935842233,765.583521283442
959.1131627317876,634.0922912668618
126.82871621415015,0.5888406584700911
793.6814294729577,802.8679399737126
662.8197075823731,732.0646997585033
19.419631016311612,182.3404988382099
835.547758309116,27.94353772118574
20.520441139140644,806.5592809513447
608.5290785875213,377.9891388159313
317.4268949092228,243.47881837677576
145.69445148094817,883.4519976830876
768.9423230145059,969.6611018364581
299.39134617443165,526.8799063674375
665.780124255718,15.768655273805553
966.6334344998958,544.1734481747188
726.4077928476427,30.758663645036542
93.54253338502794,347.18405159785095
2.7976642499195625,132.569597261185
541.1587225784488,662.5266497161464
857.2093857181056,525.3668508507872
282.89107657157086,284.8915349430375
469.7080956799091,277.5531805337262
557.9993247548124,394.77567274343807
283.7136963000899,120.45073402542405
944.4614785726195,774.7708771356868
94.67055445128403,31.346764567977026
11.746797688058086,747.6835483393987
187.56741898306694,351.77322954720023
99.40402741514087,950.2007507020943
504.33431767136585,996.213837637255
334.9297521565107,316.45542726017504
204.99642149824115,397.9790140120981
684.9523972042891,975.2821726108014
647.1754583160632,421.9040712496462
692.7793159372096,183.1910414420317
932.462006234924,334.6108423686265
722.8905360332099,774.8458595700301
919.0291284950492,620.8893533891968
932.178492688292,765.9695047255552
906.6979468381771,44.883002208315425
898.1678522274572,81.63940744074793
474.3435468283377,389.37632718268986
906.286994290325,63.49115970591291
884.7208260533034,761.7929903903336
338.0422885634234,831.9982219129001
451.97473248036636,419.3789940017231
648.6819189073115,358.24552777190456
200.2351814369625,743.4281436466218
332.75477272976406,189.79745452880692
480.68718187732696,134.13672250434183
82.49655406881107,284.2546859367409
53.612467381330966,535.2180200490104
123.35972684362373,160.82482740916893
696.9083050435662,627.7995147764742
434.50101329139954,12.692556013785383
247.51288226609057,487.89323585597424
